thr,f1,mae_onset,mae_recov,skill_onset,skill_recov,composite,recall
0.0,0.5185185185185185,2.6104761904761906,3.0619047619047617,0.6571835941734134,0.055448390254057456,0.4103835009819965,1.0
0.01,0.5185185185185185,2.6104761904761906,3.0619047619047617,0.6571835941734134,0.055448390254057456,0.4103835009819965,1.0
0.02,0.5185185185185185,2.6104761904761906,3.0619047619047617,0.6571835941734134,0.055448390254057456,0.4103835009819965,1.0
0.03,0.5185185185185185,2.6104761904761906,3.0619047619047617,0.6571835941734134,0.055448390254057456,0.4103835009819965,1.0
0.04,0.5185185185185185,2.6104761904761906,3.0619047619047617,0.6571835941734134,0.055448390254057456,0.4103835009819965,1.0
0.05,0.5185185185185185,2.6104761904761906,3.0619047619047617,0.6571835941734134,0.055448390254057456,0.4103835009819965,1.0
0.06,0.5192878338278932,2.6104761904761906,3.0619047619047617,0.6571835941734134,0.055448390254057456,0.4106399394184547,1.0
0.07,0.5197123729233821,2.657142857142857,3.1133333333333333,0.6510551724712965,0.039583448752881445,0.40345033138252,0.9980952380952381
0.08,0.5210251306295098,2.684761904761905,3.138095238095238,0.6474281473822885,0.03194477321527811,0.4001326837423589,0.9971428571428571
0.09,0.5230460921843687,2.7533333333333334,3.218095238095238,0.6384231195750961,0.007265975324559859,0.38957839569467495,0.9942857142857143
0.1,0.5245653817082389,2.8276190476190477,3.2895238095238097,0.6286676727839711,0.0,0.38441101816407003,0.9914285714285714
0.11,0.5255660137369627,3.0361904761904763,3.493333333333333,0.6012773798704276,0.0,0.3756144645357968,0.9838095238095238
0.12,0.5291848804319876,3.1314285714285712,3.5933333333333333,0.5887703968048827,0.0,0.3726517590789568,0.98
0.13,0.5322538521807261,3.381904761904762,3.8466666666666667,0.5558770313424997,0.0,0.3627102945077419,0.9704761904761905
0.14,0.5360934182590233,3.6066666666666665,4.082857142857143,0.5263605513078136,0.0,0.35415132318894565,0.9619047619047619
0.15,0.5389839717468079,4.067619047619048,4.524761904761904,0.4658267532705761,0.0,0.334936908339128,0.9447619047619048
0.16,0.5433333333333333,4.4209523809523805,4.880952380952381,0.4194258460974045,0.0,0.32091972647691264,0.9314285714285714
0.17,0.5498281786941581,4.860952380952381,5.349523809523809,0.3616435843345869,0.0,0.30382392100958167,0.9142857142857143
0.18,0.5542452830188679,5.34,5.855238095238096,0.29873345951489594,0.0,0.2843262475112546,0.8952380952380953
0.19,0.5596330275229358,5.953333333333333,6.497142857142857,0.2181884885727866,0.0,0.2592738386985741,0.8714285714285714
0.2,0.5616966580976864,6.953333333333333,7.526666666666666,0.08686516638456487,0.0,0.2161872748274171,0.8323809523809523
0.21,0.5620219487861656,7.642857142857143,8.26952380952381,0.0,0.0,0.18734064959538854,0.8047619047619048
0.22,0.5659854520263249,8.327619047619047,8.991428571428571,0.0,0.0,0.1886618173421083,0.7780952380952381
0.23,0.5757906215921483,8.941904761904762,9.64952380952381,0.0,0.0,0.19193020719738277,0.7542857142857143
0.24,0.5829803619561031,9.744761904761905,10.539047619047619,0.0,0.0,0.19432678731870104,0.7209523809523809
0.25,0.5907617504051864,10.438095238095238,11.265714285714285,0.0,0.0,0.19692058346839547,0.6942857142857143
0.26,0.59734702610184,11.173333333333334,12.060952380952381,0.0,0.0,0.19911567536728,0.6647619047619048
0.27,0.6101083032490975,11.708571428571428,12.629523809523809,0.0,0.0,0.20336943441636582,0.6438095238095238
0.28,0.6134215500945179,12.33904761904762,13.32,0.0,0.0,0.20447385003150598,0.6180952380952381
0.29,0.622398414271556,12.856190476190477,13.868571428571428,0.0,0.0,0.20746613809051864,0.5980952380952381
0.3,0.631633178773828,13.213333333333333,14.248571428571429,0.0,0.0,0.21054439292460933,0.5838095238095238
0.31,0.6350559403303143,13.634285714285713,14.685714285714285,0.0,0.0,0.2116853134434381,0.5676190476190476
0.32,0.6403940886699507,13.905714285714286,14.972380952380952,0.0,0.0,0.2134646962233169,0.5571428571428572
0.33,0.6479505895564289,14.08952380952381,15.178095238095239,0.0,0.0,0.21598352985214297,0.5495238095238095
0.34,0.6499143346659052,14.280952380952382,15.385714285714286,0.0,0.0,0.21663811155530174,0.5419047619047619
