thr,f1,mae_onset,mae_recov,skill_onset,skill_recov,composite,recall
0.0,0.5185185185185185,2.6028571428571428,3.0428571428571427,0.6581841528186572,0.06132429451375232,0.41267565528364275,1.0
0.01,0.5185185185185185,2.6028571428571428,3.0428571428571427,0.6581841528186572,0.06132429451375232,0.41267565528364275,1.0
0.02,0.5185185185185185,2.6028571428571428,3.0428571428571427,0.6581841528186572,0.06132429451375232,0.41267565528364275,1.0
0.03,0.5185185185185185,2.6028571428571428,3.0428571428571427,0.6581841528186572,0.06132429451375232,0.41267565528364275,1.0
0.04,0.5185185185185185,2.6028571428571428,3.0428571428571427,0.6581841528186572,0.06132429451375232,0.41267565528364275,1.0
0.05,0.5186465794023215,2.6028571428571428,3.0428571428571427,0.6581841528186572,0.06132429451375232,0.4127183422449104,1.0
0.06,0.5190311418685121,2.6028571428571428,3.0428571428571427,0.6581841528186572,0.06132429451375232,0.41284652973364055,1.0
0.07,0.5194355038375835,2.6285714285714286,3.0714285714285716,0.65480726739096,0.05251043812420997,0.4089177364509178,0.9990476190476191
0.08,0.5207453416149068,2.6485714285714286,3.0942857142857143,0.6521808009471955,0.0454593530125762,0.4061284985248929,0.9980952380952381
0.09,0.5221945137157107,2.6752380952380954,3.118095238095238,0.6486788456888429,0.03811447268795776,0.4029959440308371,0.9971428571428571
0.1,0.5248618784530387,2.7257142857142855,3.1666666666666665,0.6420501446641043,0.02313091682573598,0.3966809799809596,0.9952380952380953
0.11,0.525278058645096,2.875238095238095,3.317142857142857,0.6224141812511986,0.0,0.3825640799654315,0.9895238095238095
0.12,0.5273098519652885,3.021904761904762,3.473333333333333,0.6031534273302595,0.0,0.3768210930985159,0.9838095238095238
0.13,0.5318158303155717,3.1552380952380954,3.6,0.5856436510384966,0.0,0.37248649378468945,0.979047619047619
0.14,0.5318646734854445,3.4952380952380953,3.9495238095238094,0.5409937214945011,0.0,0.35761946499331526,0.9657142857142857
0.15,0.5329421178981062,3.875238095238095,4.328571428571428,0.4910908590629769,0.0,0.3413443256536944,0.9514285714285714
0.16,0.5369565217391304,4.153333333333333,4.617142857142857,0.45457046851158567,0.0,0.3305089967502387,0.940952380952381
0.17,0.53646408839779,4.56,5.0495238095238095,0.40116565082170885,0.0,0.3125432464064996,0.9247619047619048
0.18,0.5382436260623229,5.088571428571429,5.583809523809524,0.33175189480793443,0.0,0.28999850695675244,0.9047619047619048
0.19,0.5420289855072464,5.464761904761905,5.965714285714285,0.282349311699032,0.0,0.27479276573542616,0.8904761904761904
0.2,0.5476190476190477,5.831428571428572,6.350476190476191,0.234197426896684,0.0,0.26060549150524387,0.8761904761904762
0.21,0.5512625494371768,6.1761904761904765,6.704761904761905,0.18892214819941133,0.0,0.24672823254552936,0.8628571428571429
0.22,0.5557644110275689,6.595238095238095,7.185714285714286,0.13389142271101373,0.0,0.22988527791286087,0.8447619047619047
0.23,0.558889964504679,7.1276190476190475,7.74,0.06397738737461756,0.0,0.20762245062643217,0.8247619047619048
